19633681	19633961	ENSG00000196199.13	ENST00000361479.9	MPHOSPH8-201	1	ENSE00001856160.1
19642115	19642270	ENSG00000196199.13	ENST00000361479.9	MPHOSPH8-201	2	ENSE00001599859.1
19646443	19647291	ENSG00000196199.13	ENST00000361479.9	MPHOSPH8-201	3	ENSE00001784636.1
19648422	19648521	ENSG00000196199.13	ENST00000361479.9	MPHOSPH8-201	4	ENSE00001785657.1
19650003	19650260	ENSG00000196199.13	ENST00000361479.9	MPHOSPH8-201	5	ENSE00001780084.1
19658995	19659120	ENSG00000196199.13	ENST00000361479.9	MPHOSPH8-201	6	ENSE00003495450.1
19659201	19659289	ENSG00000196199.13	ENST00000361479.9	MPHOSPH8-201	7	ENSE00003517090.1
19661698	19661838	ENSG00000196199.13	ENST00000361479.9	MPHOSPH8-201	8	ENSE00001598583.1
19663040	19663126	ENSG00000196199.13	ENST00000361479.9	MPHOSPH8-201	9	ENSE00001712974.1
19666425	19666579	ENSG00000196199.13	ENST00000361479.9	MPHOSPH8-201	10	ENSE00000678076.1
19668377	19668531	ENSG00000196199.13	ENST00000361479.9	MPHOSPH8-201	11	ENSE00000678075.1
19670236	19670363	ENSG00000196199.13	ENST00000361479.9	MPHOSPH8-201	12	ENSE00000678074.1
19671206	19671289	ENSG00000196199.13	ENST00000361479.9	MPHOSPH8-201	13	ENSE00003506436.1
19671834	19673459	ENSG00000196199.13	ENST00000361479.9	MPHOSPH8-201	14	ENSE00001621634.3
19646754	19647291	ENSG00000196199.13	ENST00000414242.3	MPHOSPH8-202	1	ENSE00003724875.1
19648422	19648521	ENSG00000196199.13	ENST00000414242.3	MPHOSPH8-202	2	ENSE00001785657.1
19650003	19650412	ENSG00000196199.13	ENST00000414242.3	MPHOSPH8-202	3	ENSE00003723315.1
19668391	19668531	ENSG00000196199.13	ENST00000449056.1	MPHOSPH8-203	1	ENSE00001663332.1
19670236	19670363	ENSG00000196199.13	ENST00000449056.1	MPHOSPH8-203	2	ENSE00000678074.1
19670840	19670964	ENSG00000196199.13	ENST00000449056.1	MPHOSPH8-203	3	ENSE00001493916.2
19671206	19671289	ENSG00000196199.13	ENST00000449056.1	MPHOSPH8-203	4	ENSE00003576359.1
19671834	19672072	ENSG00000196199.13	ENST00000449056.1	MPHOSPH8-203	5	ENSE00001791116.1
19958670	19958841	ENSG00000121741.16	ENST00000610343.4	ZMYM2-210	1	ENSE00003729538.1
19959958	19960026	ENSG00000121741.16	ENST00000610343.4	ZMYM2-210	2	ENSE00000994796.1
19993063	19993919	ENSG00000121741.16	ENST00000610343.4	ZMYM2-210	3	ENSE00002289331.1
20002850	20003135	ENSG00000121741.16	ENST00000610343.4	ZMYM2-210	4	ENSE00003724433.1
20005074	20005239	ENSG00000121741.16	ENST00000610343.4	ZMYM2-210	5	ENSE00001766044.3
20006374	20006586	ENSG00000121741.16	ENST00000610343.4	ZMYM2-210	6	ENSE00003722766.1
20019547	20019618	ENSG00000121741.16	ENST00000610343.4	ZMYM2-210	7	ENSE00003493325.1
20026612	20026762	ENSG00000121741.16	ENST00000610343.4	ZMYM2-210	8	ENSE00003632758.1
20027203	20027318	ENSG00000121741.16	ENST00000610343.4	ZMYM2-210	9	ENSE00003594100.1
20031319	20031435	ENSG00000121741.16	ENST00000610343.4	ZMYM2-210	10	ENSE00001701375.1
20034254	20034404	ENSG00000121741.16	ENST00000610343.4	ZMYM2-210	11	ENSE00001493682.2
20036737	20036909	ENSG00000121741.16	ENST00000610343.4	ZMYM2-210	12	ENSE00003710675.1
20051433	20051598	ENSG00000121741.16	ENST00000610343.4	ZMYM2-210	13	ENSE00003706961.1
20052277	20052311	ENSG00000121741.16	ENST00000610343.4	ZMYM2-210	14	ENSE00003708852.1
20058575	20058704	ENSG00000121741.16	ENST00000610343.4	ZMYM2-210	15	ENSE00003711449.1
20059447	20059562	ENSG00000121741.16	ENST00000610343.4	ZMYM2-210	16	ENSE00003705144.1
20061053	20061224	ENSG00000121741.16	ENST00000610343.4	ZMYM2-210	17	ENSE00003705601.1
20062846	20062971	ENSG00000121741.16	ENST00000610343.4	ZMYM2-210	18	ENSE00003710361.1
20064451	20064545	ENSG00000121741.16	ENST00000610343.4	ZMYM2-210	19	ENSE00003709923.1
20066851	20067019	ENSG00000121741.16	ENST00000610343.4	ZMYM2-210	20	ENSE00003706670.1
20067239	20067390	ENSG00000121741.16	ENST00000610343.4	ZMYM2-210	21	ENSE00003711029.1
20082016	20082130	ENSG00000121741.16	ENST00000610343.4	ZMYM2-210	22	ENSE00003707483.1
20082781	20083032	ENSG00000121741.16	ENST00000610343.4	ZMYM2-210	23	ENSE00003706500.1
20083656	20083776	ENSG00000121741.16	ENST00000610343.4	ZMYM2-210	24	ENSE00003710456.1
20085822	20091829	ENSG00000121741.16	ENST00000610343.4	ZMYM2-210	25	ENSE00001493636.2
19958708	19958771	ENSG00000121741.16	ENST00000382874.6	ZMYM2-203	1	ENSE00001493647.1
19959958	19960026	ENSG00000121741.16	ENST00000382874.6	ZMYM2-203	2	ENSE00000994796.1
19970025	19970071	ENSG00000121741.16	ENST00000382874.6	ZMYM2-203	3	ENSE00001493691.1
19993063	19993919	ENSG00000121741.16	ENST00000382874.6	ZMYM2-203	4	ENSE00002289331.1
20002850	20003135	ENSG00000121741.16	ENST00000382874.6	ZMYM2-203	5	ENSE00003724433.1
